text1,text2,text3,text4,istrue
http,www,reintek,com,-1
http,philtar,ucsm,ac,-1
philtar,ucsm,ac,uk,-1
ucsm,ac,uk,encyclopedia,-1
ac,uk,encyclopedia,confuc,-1
http,www,vetmed,wisc,-1
www,vetmed,wisc,edu,-1
vetmed,wisc,edu,pbs,-1
wisc,edu,pbs,zoonoses,-1
http,www,humboldt,edu,1
www,humboldt,edu,rescuers,1
humboldt,edu,rescuers,book,1
edu,rescuers,book,strobos,1
http,www,underclassmen,ch,-1
http,www,uniqema,com,-1
http,www,usca,org,1
http,www,tv,com,-1
www,tv,com,vanessa,-1
tv,com,vanessa,lengies,-1
com,vanessa,lengies,person,-1
http,www,reachouttrust,org,-1
http,www,geocities,com,-1
www,geocities,com,heartland,-1
geocities,com,heartland,park,-1
com,heartland,park,c,-1
http,www,brideandgroom,com,-1
http,www,clubwebsite,co,-1
www,clubwebsite,co,uk,-1
clubwebsite,co,uk,fulbournrovers,-1
http,www,suctionrecords,com,-1
http,www,wines,com,-1
http,www,chestysoft,com,-1
www,chestysoft,com,filedownload,-1
http,www,unitychapeloflight,org,-1
http,www,mizar,optical,-1
www,mizar,optical,com,-1
http,www,grantsugrue,com,-1
http,www,ralphselectronics,com,-1
http,www,sahpa,asn,-1
www,sahpa,asn,au,-1
http,www,encountervideo,com,-1
http,www,santarosa,edu,-1
www,santarosa,edu,library,-1
http,www,elysianhillsfarm,com,-1
http,www,fno,org,-1
www,fno,org,jan,-1
fno,org,jan,reply,-1
org,jan,reply,html,-1
http,www,eu,delegation,-1
www,eu,delegation,org,-1
eu,delegation,org,eg,-1
http,games,teamxbox,com,-1
games,teamxbox,com,xbox,-1
teamxbox,com,xbox,tony,-1
com,xbox,tony,h,-1
http,www,pbs,org,-1
www,pbs,org,inthemix,-1
pbs,org,inthemix,celebs,-1
org,inthemix,celebs,index,-1
inthemix,celebs,index,html,-1
http,www,lormit,com,-1
http,www,sealgraphics,com,1
http,www,allmusic,com,1
www,allmusic,com,cg,1
allmusic,com,cg,amg,1
com,cg,amg,dll,1
cg,amg,dll,p,1
amg,dll,p,amg,1
dll,p,amg,amp;s,1
http,www,andalucia,com,-1
www,andalucia,com,malagaflamen,-1
andalucia,com,malagaflamen,html,-1
http,presbyteryofglasgow,org,uk,-1
http,www,angelfire,com,-1
www,angelfire,com,ok,-1
angelfire,com,ok,auroramatrix,-1
http,www,ginsengkub,com,-1
http,www,stanford,edu,-1
www,stanford,edu,deissero,-1
http,www,mod,eez,-1
www,mod,eez,com,-1
http,periodic,lanl,gov,-1
periodic,lanl,gov,elements,-1
lanl,gov,elements,html,-1
http,www,ts,adyar,-1
www,ts,adyar,org,-1
http,www,templebnaijeshurun,org,-1
http,www,rubbersquid,com,1
http,www,bands,army,1
www,bands,army,mil,1
bands,army,mil,music,1
army,mil,music,bugle,1
mil,music,bugle,default,1
music,bugle,default,asp,1
http,www,culturevulture,net,-1
www,culturevulture,net,movies,-1
culturevulture,net,movies,eyeswides,-1
http,www,rya,org,1
www,rya,org,uk,1
http,www,gutenberg,org,1
www,gutenberg,org,etext,1
http,launch,yahoo,com,-1
launch,yahoo,com,read,-1
yahoo,com,read,feature,-1
com,read,feature,asp,-1
read,feature,asp,conte,-1
http,www,bcs,rochester,-1
www,bcs,rochester,edu,-1
bcs,rochester,edu,people,-1
rochester,edu,people,mary,-1
edu,people,mary,mary,-1
http,www,lutheranlegacies,org,-1
http,or,pubs,informs,-1
or,pubs,informs,org,-1
http,www,ihrc,umn,-1
www,ihrc,umn,edu,-1
http,www,e,vet,-1
www,e,vet,com,-1
http,www,fernsduncan,com,-1
www,fernsduncan,com,powlog,-1
http,web,inter,nl,-1
web,inter,nl,net,-1
inter,nl,net,users,-1
nl,net,users,paul,-1
net,users,paul,treanor,-1
users,paul,treanor,dri,-1
http,www,nhk,or,-1
www,nhk,or,jp,-1
nhk,or,jp,gogaku,-1
http,www,brillcast,com,-1
http,www,newadvent,org,-1
www,newadvent,org,cathen,-1
newadvent,org,cathen,a,-1
org,cathen,a,htm,-1
http,rlgoodden,tripod,com,-1
http,www,apixinfosource,com,-1
http,www,sandrabowden,com,1
http,www,homestead,com,-1
www,homestead,com,biondine,-1
http,ds,gamespy,com,-1
ds,gamespy,com,nintendo,-1
gamespy,com,nintendo,ds,-1
com,nintendo,ds,mana,-1
nintendo,ds,mana,sequel,-1
http,www,newadvent,org,1
www,newadvent,org,cathen,1
newadvent,org,cathen,b,1
org,cathen,b,htm,1
http,pretallez,com,neroon,-1
http,www,entertainmentavenue,com,-1
www,entertainmentavenue,com,concert,-1
entertainmentavenue,com,concert,hal,-1
http,www,aptalaska,com,-1
http,www,chordmelody,com,-1
http,xbox,gamespy,com,-1
xbox,gamespy,com,xbox,-1
gamespy,com,xbox,spartan,-1
com,xbox,spartan,total,-1
xbox,spartan,total,war,-1
http,www,cpcmobile,com,-1
http,www,cabiriinternational,org,-1
http,www,kiekeben,com,-1
www,kiekeben,com,philosophy,-1
kiekeben,com,philosophy,html,-1
http,www,hymnsite,com,1
http,www,stayinalive,net,-1
www,stayinalive,net,au,-1
http,www,bathandbodyworks,com,-1
http,www,derryhumanesociety,com,-1
http,www,bryndole,com,-1
www,bryndole,com,april,-1
bryndole,com,april,god,-1
com,april,god,pr,-1
april,god,pr,html,-1
http,www,targeting,com,-1
http,www,seprotech,com,-1
http,www,medienhaus,marienfelde,-1
www,medienhaus,marienfelde,de,-1
http,www,rockymountainhardware,com,-1
http,www,arthritis,org,-1
www,arthritis,org,conditions,-1
