text1,text2,text3,text4,class
ca,mod,tech,node,11
bbc,co,uk,cbeebies,7
www,artinstitutes,edu,sandiego,10
cstv,com,sports,w,14
sex,sites,net,ars,0
http,members,tripod,com,12
gamespot,com,pc,rpg,4
http,www,gamespot,com,4
www,flying,fish,net,10
http,www,cliffordchance,com,13
http,www,hoopsworld,com,14
http,www,shakermuseum,org,10
members,tripod,com,iotaphitheta,10
bis,flora,php,selected,11
ebony,porn,pics,com,0
http,www,milwaukeerose,org,6
uib,no,people,hnohf,11
org,books,eternal,city,1
mvc,sports,com,sportselect,14
geocities,com,siliconvalley,ridge,4
http,cooking,erp,volga,6
www,theage,com,au,8
cranbourne,yourguide,com,au,8
about,com,index,htm,8
http,www,free,porn,0
http,www,watermelon,org,6
http,www,houndsdesign,com,12
www,lovelyrascals,de,homepage,9
nexicom,net,x,press,8
http,www,aacn,org,5
http,www,gamefaqs,com,4
www,poly,rpi,edu,10
http,www,cityofangelsvets,com,5
duke,edu,web,borrowedblue,10
jcu,edu,au,saas,11
com,mwwg,index,html,4
www,rxlist,com,cgi,5
dk,english,gb,lake,10
org,teen,diseases,condit,7
explore,artifacts,glass,asp,6
http,edschool,csueastbay,edu,14
ik,pmr,com,vec,9
http,www,culinarycafe,com,6
edu,about,guilford,servic,10
noaa,gov,fgz,science,7
http,www,kinesiologycollege,com,5
com,rss,autos,nissan,9
com,recall,make,dodge,9
edu,faculty,jod,teachdem,10
org,pdf,policy,elder,13
http,frl,bluehighways,com,10
www,execulink,com,wblank,13
http,www,vcpa,com,8
http,www,automaticmusic,nl,2
about,visit,upc,tommy,10
http,www,geocities,com,4
http,www,americanpressinstitute,org,8
http,www,stbedesnewcastle,co,13
net,gallery,view,lam,11
http,www,montgomeryherald,com,8
www,tv,now,com,1
usflag,org,baldeagle,html,7
www,all,free,fat,0
http,www,rollercoaster,ie,6
goholycross,cstv,com,sports,14
www,leaguelineup,com,welcome,7
http,wwww,ksu,edu,10
org,spirit,litcrown,html,13
http,www,bibleviews,com,13
wii,kombo,com,article,7
wightchurches,co,uk,htbemb,13
www,mcgill,ca,minmet,10
newscientist,com,article,dn,9
www,geocities,com,hmkhakhar,13
ikm,li,library,htm,10
www,findarticles,com,p,6
www,dl,ket,org,10
http,www,w,org,3
http,harrypotter,pt,warnerbros,7
www,hawkesbury,yourguide,com,8
http,www,gdt,help,2
com,gastro,liverdisease,aspx,5
http,www,blackexpressions,com,12
www,library,yale,edu,10
http,home,comcast,net,3
imdb,com,title,tt,1
gamezone,com,gamesell,p,7
vegweb,com,index,php,6
http,www,geocities,com,9
free,amateur,photo,com,0
gaming,age,com,cgi,4
http,www,tradeus,es,2
geocities,com,hollywood,guild,1
ign,com,objects,html,4
us,parks,guides,parks,9
http,twsbs,tripod,com,2
mreza,com,library,facts,13
www,marge,it,hpwebsite,7
gov,cpep,chart,pages,11
www,can,tf,org,5
www,allwatchers,com,topics,1
recipesource,com,main,dishes,6
cpsr,org,prevsite,cpsr,6
com,asp,home,asp,2
http,www,geocities,com,0
recipesource,com,soups,soups,6
http,www,financialhistory,org,10
http,www,homestudies,co,10
www,ibiblio,org,pfaf,11
mpssociety,org,content,mps,5
http,www,all,free,0
http,www,adaptivesports,org,14
templates,topics,topic,php,2
net,projects,phpopen,phpopen,3
members,tripod,com,jerry,9
http,www,discover,diving,9
step,one,stepone,html,1
www,theresa,hannover,de,0
news,bbc,co,uk,14
http,wbe,iwarp,com,1
www,geocities,com,pipeline,14
http,www,classicnote,com,1
http,chapters,marssociety,org,11
www,wurb,com,if,4
http,www,thankyoufortakingmycall,com,9
british,cars,org,uk,9
firehouse,com,content,jobs,5
www,redparaellas,com,kamasutra,0
http,www,darklightimagery,net,9
http,www,lccc,edu,10
http,www,crystalclearphoto,com,2
http,actuarialfoundation,org,consumer,6
www,bsa,mdsc,org,9
blazers,belhaven,edu,sports,14
http,www,comid,co,2
www,thegutsygourmet,net,artichoke,6
act,org,path,parent,6
www,geocities,com,timessquare,4
sex,erotica,com,babes,0
articles,artshow,asp,a,5
http,www,geocities,com,9
recipes,steamed,millet,htm,6
gay,porn,pictures,video,0
botany,hawaii,edu,faculty,11
businessweek,com,magazine,content,6
www,nlm,nih,gov,5
http,hodgepodgekitchen,blogspot,com,6
mb,soft,com,believe,13
www,follicle,com,treatments,5
csicop,org,si,sirius,11
http,www,pkaluza,com,1
http,www,campwesleywoods,com,13
http,www,educationuk,org,10
tvguide,com,movies,home,1
http,www,theletteronline,com,13
www,funtrivia,com,dir,8
http,www,uleth,ca,10
com,cheerfield,front,html,0
home,deh,de,depeche,1
edmunds,com,cadillac,index,6
personalephemera,com,sc,index,1
www,americanpresidents,org,presidents,7
http,www,tellingpictures,com,1
www,uktherapist,co,uk,5
http,www,soupsong,com,6
http,www,spankinglife,com,0
http,www,gsm,ucdavis,10
http,www,snhu,edu,14
home,swipnet,se,affenpinscher,9
http,www,tedsimages,com,9
http,www,missionnebraska,org,13
http,www,medinfo,co,5
http,www,squareunion,com,4
edu,hyg,fact,html,6
com,raycenter,rayman,html,4
takecountryback,com,features,daryle,1
groups,yahoo,com,group,14
globe,a,z,m,8
heartsite,com,html,chf,5
essex,ac,uk,rabartle,4
http,www,cyberspacegrill,com,6
www,geocities,com,homeschooldesk,10
www,francealzheimer,org,pages,7
co,uk,irchild,m,13
thewb,warnerbros,com,shows,7
http,www,planetdeusex,com,4
cumountainlions,com,index,asp,14
