text1,text2,text3,text4,class
http,www,lavender,ce,2
ac,uk,courselist,aspx,departmentid=46&amp
liu,se,alla,gtkmozilla,3
http,www,texasmonthly,com,6
st,and,ac,uk,11
www,gamerevolution,com,oldsite,4
home,nsf,e,home,10
http,www,animecritic,com,1
org,cathen,a,htm,13
http,www,amateursoutdoors,com,0
bin,navcgi,ring,tguniv,list
http,allrecipes,com,recipe,6
www,pubshoptrainingschool,co,uk,2
http,www,totalnetsolutions,com,3
http,www,geocities,com,7
culinarycafe,com,drinks,classic,6
com,knowhow,vhdl,designers,11
http,www,muenz,shop,12
http,www,gonzalesinquirer,com,8
http,www,vasqua,de,7
geocities,com,moylough,index,14
http,www,loomisinsurance,com,2
sandhillvet,demon,co,uk,5
agrss,sherman,hawaii,edu,6
http,www,bmrc,berkeley,13
http,www,bultacoparts,com,12
com,game,titles,pc,4
http,www,darrahcooperjewelers,com,12
http,www,findlay,phillips,13
weihenstephan,de,genglos,asp,11
xdr,com,dash,bomber,4
www,b,and,t,12
pc,gamespy,com,pc,4
http,www,angelfire,com,11
co,uk,bristollsa,bristolb,13
http,www,greenlineenergy,com,2
chris,kimble,com,knicop,10
http,www,algonet,se,3
http,www,botany,hawaii,11
http,www,geocities,com,9
http,eliquo,fasthoster,de,7
http,www,saraurdahl,com,3
http,www,yummycakerecipes,co,12
http,www,hereinreality,com,13
geneclinics,org,profiles,angelman,5
http,www,thebrain,com,10
src,le,ac,uk,11
www,pussy,closeup,com,0
http,www,state,gov,7
sports,yahoo,com,ncaaw,14
http,www,orcahome,de,7
www,nature,com,neuro,11
http,xennon,tripod,com,4
www,angelfire,com,movies,1
http,www,ruidoso,net,9
http,www,paeon,de,6
http,www,coventryescort,com,0
http,www,pavillon,arsenal,10
http,www,angelfire,com,0
us,avs,adrianas,sec,0
com,recipe,b,htm,6
http,www,firestone,com,2
fortbendstar,com,nonprofit,fortbend,13
http,www,arcadevillage,com,7
http,allrecipes,com,recipe,6
www,castellneddchess,co,uk,4
http,www,getwinesdirect,com,12
globalshareware,com,index,htm,3
n,p,com,n,2
http,www,waterpointservices,co,2
com,ped,topic,htm,6
ca,cwm,exhibitions,newspa,8
http,www,alphachapterdst,com,10
erot,gal,s,html,0
uk,animalh,diseases,vetsu,5
edu,tid,zeg,d,13
http,www,shannonairportenthusiasts,net,9
http,www,jennaphotos,com,0
http,www,i,informatik,2
www,angelfire,com,games,4
http,www,carolhurst,com,10
http,www,math,fju,11
de,en,unternehmenswelt,index,8
www,lavender,ce,com,2
amg,dll,p,amg,sql=11:teadqj2bojka
groups,yahoo,com,group,4
www,rsihelp,com,index,5
freshmeat,net,articles,view,3
http,www,dasselcokato,com,8
edu,ffci,index,php,11
www,star,ac,uk,1
www,gamespot,com,ps,4
ourworld,compuserve,com,homepages,8
com,recipes,pasta,penne,6
yahoo,com,group,delawarehomeschool,10
ntlworld,com,gordon,caig,13
http,www,angelfire,com,13
http,splendidtable,publicradio,org,6
news,com,recipes,recipes,6
http,www,jaxshells,org,9
http,www,kindermishandelingleuven,be,7
cfafwb,org,church%,pages,13
epersimmons,com,recipes,htm,6
http,www,newsbroadcastnetwork,com,8
ab,ca,rattlers,sports,14
filmtracks,com,titles,road,1
www,kidzworld,com,site,7
www,peganet,net,emperor,1
http,www,alter,ego,1
com,opentype,unicode,unic,3
etext,virginia,edu,etcbin,query=&amp
http,www,brainshrub,com,8
http,www,pixelmanifest,com,3
http,www,tomistoma,org,11
org,info,traffic,sno,6
www,bedsschoolofdanceanddrama,co,uk,1
uk,manchester,city,inde,14
http,www,sacovalleycanoe,com,14
www,foot,fetish,pic,0
http,www,planesoftware,com,12
com,fieldguides,detail,asp,searchtext=godwit&amp
http,www,hydeseal,com,14
http,www,taylorgifts,com,12
www,neoseeker,com,games,4
http,us,imdb,com,1
sportsline,com,u,hockey,14
geocities,com,televisioncity,set,1
http,www,gretschpages,com,1
http,www,bccorp,com,3
bbc,co,uk,hi,11
https,www,udemy,com,10
www,gamewinners,com,doswin,4
http,www,gutenberg,org,13
www,fas,harvard,edu,10
com,cd,full,review,1
us,imdb,com,title,1
edu,au,disy,l,3
www,sportsjones,com,sj,14
gamespot,com,ps,adventure,4
